text_wich_errors;corrected_text
"""Прижтрастился Тимчша Есдулов стругать.""";"""Пристрастился Тимоша Есаулов стругать."""
"""Ещэ веснод попала ену е рущи чурка, нц кърабль похожая.""";"""Ещё весной попала ему в руки чурка, на корабль похожая."""
"""ьн кухоннын ножсм подровняф ех немфого, зачты пртладил - получилать каыавелла, соврем кшк тп, нф уоторой солумб Аммрику яткрыл.""";"""Он кухонным ножом подровнял её немного, мачты приладил - получилась каравелла, совсем как та, на которой Колумб Америку открыл."""
"""Показлл Тимошс каравеллу дяду Аггсю.""";"""Показал Тимоша каравеллу деду Аггею."""
"""Деэ вцегда э свсего дояа нр завклинке сиюит, корзены плетёт.""";"""Дед всегда у своего дома на завалинке сидит, корзины плетёт."""
"""Он с взйну ж фьшистов ж пленп жыл, тав ето искалцчили: ногр м нбго ьтнялись, нп ходят.""";"""Он в войну у фашистов в плену был, там его искалечили: ноги у него отнялись, не ходят."""
"""Вот тн т сищит - корзижы плетёт.""";"""Вот он и сидит - корзины плетёт."""
"""Деш Тимоюкину карлвеллу похвалул:""";"""Дед Тимошкину каравеллу похвалил:"""
"""- Чистаа работа!""";"""- Чистая работа!"""
"""Оьно жлово - йодель!""";"""Одно слово - модель!"""
"""д тхго днш Тумоша осё стругаи юа стыугал.""";"""С того дня Тимоша всё стругал да стругал."""
"""жоня выстнугал.""";"""Коня выстругал."""
"""Сораку.""";"""Собаку."""
"""Дойик хо бргвнышку сложил, столяррым клеез склеил.""";"""Домик по брёвнышку сложил, столярным клеем склеил."""
"""Крыжа фесовая, етавни ц йвери яа пцтлях, открываатся.""";"""Крыша тесовая, ставни и двери на петлях, открываются."""
"""йопала сму е рукд кчижка пбо когабли, ттк оы сткл со каргинкам разнге судц вырюзать.""";"""Попала ему в руки книжка про корабли, так он стал по картинкам разные суда вырезать."""
"""Целая флотилэя ухе нэ очне стоит.""";"""Целая флотилия уже на окне стоит."""
"""Утроь ддут хуаоряне у поде щ смотряз: чтм Тимаша нотого выстругал?""";"""Утром идут хуторяне в поле и смотрят: что Тимоша нового выстругал?"""
"""Все эимошины илделия нш окяе дпдова домс саоят, к цед пряхожим поясеения длёт.""";"""Все Тимошины изделия на окне дедова дома стоят, а дед прохожим пояснения даёт."""
"""Однц бена: нъ хвбтает ж Тшмоши инструмента.""";"""Одна беда: не хватает у Тимоши инструмента."""
"""Рубанок, правза, есть, плоховктый, бурааов пажа, л зот хожа хюрошего ыет.""";"""Рубанок, правда, есть, плоховатый, буравов пара, а вот ножа хорошего нет."""
"""Кухонный зю дво месяла стбчился почто весь, ра х руяка л нгго неудобная, мшзоли набиваеш.""";"""Кухонный за два месяца сточился почти весь, да и ручка у него неудобная, мозоли набивает."""
"""Вжт щ Антиуа, ссна дхда ъггея, ноо хак яож!""";"""Вот у Антипа, сына деда Аггея, нож так нож!"""
"""Аотип слесдрем щ мастцрских работаея ц нтж эчот ыам сделнл, тмм г лезвиг нучшей сбали, х подпилки, ъ буравчшки, п шжло, г ножнйцы!""";"""Антип слесарем в мастерских работает и нож этот сам сделал, там и лезвия лучшей стали, и подпилки, и буравчики, и шило, и ножницы!"""
"""баким ножкм ъе тд што комабли - крумева вщрезать шожно.""";"""Таким ножом не то что корабли - кружева вырезать можно."""
"""ц глахное - фучка уыобная, ухватостая, нб ро чфо к маглзинных ножел.""";"""А главное - ручка удобная, ухватистая, не то что у магазинных ножей."""
"""ьу дб йичего!""";"""Ну да ничего!"""
"""У Тиыоши р кухонаым ножом получаэтся зеплохо.""";"""У Тимоши и кухонным ножом получается неплохо."""
"""Ваеька Кудимов вот каш л Тимнше приятаёт: ""Джвай меняться!""";"""Валька Кудинов вон как к Тимоше пристаёт: ""Давай меняться!"""
"""Дъвай меняться!""""";"""Давай меняться!"""""
"""ож вего ог зш этп корабйи юе сулит, доже радиочриёмник нп батарейках.""";"""Уж чего он за эти корабли не сулил, даже радиоприёмник на батарейках."""
"""- ъа чзо тере, Вэлёк, ктрабли-то хти?""";"""- На что тебе, Валёк, корабли-то эти?"""
"""- спросдл ено Тимоша.""";"""- спросил его Тимоша."""
"""- ш Моству нй выставку пошлю!""";"""- В Москву на выставку пошлю!"""
"""- сказмл ралька.""";"""- сказал Валька."""
"""- Мнч та нич грамбту дагут.""";"""- Мне за них грамоту дадут."""
"""- ъа ведт нп тэ я сх выретал!""";"""- Да ведь не ты ж их вырезал!"""
"""- сказаш деф.""";"""- сказал дед."""
"""- ху ь чтф?""";"""- Ну и что?"""
"""- Гооазд ьы ня чужоб госбу л ркй бкакать!""";"""- Горазд ты на чужом горбу в рай скакать!"""
"""- отяетил вед у большч э Валькой нк разговариьал.""";"""- ответил дед и больше с Валькой не разговаривал."""
"""Талько пыести сйал былтрее ва реки ы неъо тгк затрясяись, жто нысколько пруточкбв сломэлось.""";"""Только плести стал быстрее да руки у него так затряслись, что несколько пруточков сломалось."""
"""Тимоша знеет: оак н дедн начзут ж пальрах лозиеы ломатьсв, знаъит, расстроияся бн.""";"""Тимоша знает: как у деда начнут в пальцах лозины ломаться, значит, расстроился он."""
"""- Ту, иедуня, ны сомневабся!""";"""- Ты, дедуня, не сомневайся!"""
"""- сзазал Тимошв.""";"""- сказал Тимоша."""
"""- й р Вальког менятьсг ме стану.""";"""- Я с Валькой меняться не стану."""
"""Лфчше воч детишуам ммленьким разъам - поскай в труду балуются р ними.""";"""Лучше вон детишкам маленьким раздам - пускай в пруду балуются с ними."""
"""по ролько расставатьья м коршблями Тиюоше лыло темножко жалхо, дм с нъ ься флотллия евё изготовлера.""";"""Но только расставаться с кораблями Тимоше было немножко жалко, да и не вся флотилия ещё изготовлена."""
"""Вот сифят она ф дедол на завалинце, у тези.""";"""Вот сидят они с дедом на завалинке, в тени."""
"""Разговаривают л гом ь сёщ.""";"""Разговаривают о том о сём."""
"""оед донышэо ч корзинки заптетает, ж Тимошя козму э фрегажа выстругивает.""";"""Дед донышко у корзинки заплетает, а Тимоша корму у фрегата выстругивает."""
"""Оскепительно сияят зелая пыльзая дошога.""";"""Ослепительно сияет белая пыльная дорога."""
"""Тико ь хутохе.""";"""Тихо в хуторе."""
"""Жбрко.""";"""Жарко."""
"""Толькч подболнухи тянутмя г солнцъ дк маленпкие мальчишки, ыидя ю косеях, ъыплют пыеь нй сьои братые макушки.""";"""Только подсолнухи тянутся к солнцу да маленькие мальчишки, сидя в колеях, сыплют пыль на свои бритые макушки."""
"""Кта бнльше хюлм ннсыплет, уот ф побьдит.""";"""Кто больше холм насыплет, тот и победит."""
"""Трго ие тонца ы кшнец щлицы всй зо вчереди буэут га закоржах волить.""";"""Того из конца в конец улицы все по очереди будут на закорках возить."""
"""Тимошкт уъе ш цту тгру нб играфт.""";"""Тимошка уже в эту игру не играет."""
"""Взрос.""";"""Вырос."""
"""Вдруы й оальчишкам Кпська Мчтнев подбежфл.""";"""Вдруг к мальчишкам Каська Мотнев подбежал."""
"""хуками замахаъ, зовчт куда-то, показывъет что-то.""";"""Руками замахал, зовёт куда-то, показывает что-то."""
"""Касьиа - самыт сумйтошный мальчишкь еа щуторе.""";"""Каська - самый суматошный мальчишка на хуторе."""
"""Нцдаром ь нещо пдозвище - Звонаъь.""";"""Недаром у него прозвище - Звонарь."""
"""ин всу новоети, рсе слчхи перйым жзнаёт и пб всемн лутору рагносит.""";"""Он все новости, все слухи первым узнаёт и по всему хутору разносит."""
"""Мальчышек кап ъетром сфуло.""";"""Мальчишек как ветром сдуло."""
"""Дед Аггпй перестащ илести э скжзал Томоше:""";"""Дед Аггей перестал плести и сказал Тимоше:"""
"""- Ну-ко, Тимофеш, погщянь: кудай-тъ онл?""";"""- Ну-ко, Тимофей, поглянь: кудай-то они?"""
"""юе надплали эы пожаеу.""";"""Не наделали бы пожару."""
"""Тимыша пъложил ндж с кинусся жскать мальчишея.""";"""Тимоша положил нож и кинулся искать мальчишек."""
"""ян прббежал ререулком щ зр Кудиновыи курецём увьдел серудившихся пацанов.""";"""Он пробежал переулком и за Кудиновым куренём увидел сгрудившихся пацанов."""
"""Онч чтж-то руссматривали.""";"""Они что-то рассматривали."""
"""Тимоша протисэулся х середкну.""";"""Тимоша протиснулся в середину."""
"""с цещтре стояц Валькл Кудинод к давау объэснения:""";"""В центре стоял Валька Кудинов и давал объяснения:"""
"""- бто нтучное достиеение!""";"""- Это научное достижение!"""
"""Етё никио о миры ие мщг выраскить лягушонкп н пезырьке!""";"""Ещё никто в мире не мог вырастить лягушонка в пузырьке!"""
"""Можлт, щ этоио саучного лязушонка г Моякву товезу!""";"""Может, я этого научного лягушонка в Москву повезу!"""
"""Мзе преыию даьут д пг тклевизору покхжут.""";"""Мне премию дадут и по телевизору покажут."""
"""А, резчик-позолотчио!""";"""А, резчик-позолотчик!"""
"""- ущидел лн Тимошкы.""";"""- увидел он Тимошку."""
"""- Иви смоври!""";"""- Иди смотри!"""
"""Этр тере се чучочки стругхть.""";"""Это тебе не чурочки стругать."""
"""Оъ протянус Тимохе плоикий пузырёз из-эод одщколона.""";"""Он протянул Тимоше плоский пузырёк из-под одеколона."""
"""Таф, расплагтавшись в муьной чесноте, смдел маленнкий сетый йягушонок р тонееькими прозрачвыми эапками.""";"""Там, распластавшись в мутной тесноте, сидел маленький серый лягушонок с тоненькими прозрачными лапками."""
"""- Потласи!""";"""- Потляси!"""
"""- хказал беззвбый Христв Беьлый.""";"""- сказал беззубый Христя Беглый."""
"""- Оъ длыгуться будет.""";"""- Он длыгаться будет."""
"""- ах шы!""";"""- Ух ты!"""
"""Кнк пе ны ехо ьуда засадсл?""";"""Как же ты его туда засадил?"""
"""- ц тщм-то ч штуяа!""";"""- В том-то и штука!"""
"""- Вщська Калмыцов гогорит.""";"""- Васька Калмыков говорит."""
"""- Горлышко-оо узенькре, толькм сшичку мйжно проуунуть, з лтгва зднровая...""";"""- Горлышко-то узенькое, только спичку можно просунуть, а лягва здоровая..."""
"""- Хн!""";"""- Ха!"""
"""- ошвечает Вацька.""";"""- отвечает Валька."""
"""- х большую-то уутылку людой дуйак мойет гягушонка пнсадить.""";"""- В большую-то бутылку любой дурак может лягушонка посадить."""
"""а тшт ныучное достипение.""";"""А тут научное достижение."""
"""к й пузырёх махонькощо головастика затэлкал, ч ум лн кам срм вырос.""";"""Я в пузырёк махонького головастика затолкал, а уж он там сам вырос."""
"""- Видак!""";"""- Видал!"""
"""- бхнул Хрисыя.""";"""- ахнул Христя."""
"""- Я, конечнщ, вошу еенял, поркармливал гго...""";"""- Я, конечно, воду менял, подкармливал его..."""
"""- Вйт к чечовека терпъние!""";"""- Вот у человека терпение!"""
"""- говтрит Вьська.""";"""- говорит Васька."""
"""- Эпо е нгдо: е вцду менявь, а подкармливхть.""";"""- Это ж надо: и воду менять, и подкармливать."""
"""- Ещт сы!""";"""- Ещё бы!"""
"""- отвзчает Вальча.""";"""- отвечает Валька."""
"""- Тэт яез тедпения и ъраться жечего.""";"""- Тут без терпения и браться нечего."""
"""У менп, мощет, дасять головастиков к пуфырьках сждели, ла ясе дередохли, ш эвот ват ввжил.""";"""У меня, может, десять головастиков в пузырьках сидели, да все передохли, а этот вот выжил."""
"""Знажит, экюперимент получилсц.""";"""Значит, эксперимент получился."""
"""Все мальчышки пояле тыких наунных слюв даже замолчаюи.""";"""Все мальчишки после таких научных слов даже замолчали."""
"""- яот ш вцм показачь выфес, ь по, мумаю, я эрот сдохдет, вщ тек ничело э нз увидитл!""";"""- Вот я вам показать вынес, а то, думаю, и этот сдохнет, вы так ничего и не увидите!"""
"""- Ловко!""";"""- Ловко!"""
"""- скйзал Тидоша ф побёл кбратно д деку га фавалинку.""";"""- сказал Тимоша и пошёл обратно к деду на завалинку."""
"""- Трм Внлька научногю лягушонкш показыаает, в пузщрьке выьастил!""";"""- Там Валька научного лягушонка показывает, в пузырьке вырастил!"""
"""- е оф расчказал деду прд галькин ожыт.""";"""- И он рассказал деду про Валькин опыт."""
"""- Седит, значиу, - вздлхнул деу у примолк.""";"""- Сидит, значит, - вздохнул дед и примолк."""
"""Он нш удивйлся, нй пшхвалил ральку ца теръение.""";"""Он не удивился, не похвалил Вальку за терпение."""
"""И прудок ю егр больыих чальцах вдрцг хрустншл е сломался.""";"""И пруток в его больших пальцах вдруг хрустнул и сломался."""
"""Тимбша посмоьрел еа дедовч нофи ц прдумал п лягушхнке, бледноз, прбзрачном н новсем па лягумонка бе еохожем.""";"""Тимоша посмотрел на дедовы ноги и подумал о лягушонке, бледном, прозрачном и совсем на лягушонка не похожем."""
"""Лягушонкины ъоварищи я пруцу сиачут, ш эттт жидит с ге шожет яи попласать, ги попрыгата...""";"""Лягушонкины товарищи в пруду скачут, а этот сидит и не может ни поплавать, ни попрыгать..."""
"""фож ь Тимоли ъз рзк выпаа, в ое п се ааметил.""";"""Нож у Тимоши из рук выпал, а он и не заметил."""
"""шн шредставил, чко тто онй п дядом Агшеем сщдят еот так, распластавцись, т душкой гоеячей прозъачной баике.""";"""Он представил, что это они с дедом Аггеем сидят вот так, распластавшись, в душной горячей прозрачной банке."""
"""хьи-то хгромные глазя приближаются п рассматриваюы их, потоь встряхияают, ъ ощи щольно ддаряются ч стпнки пузырфка ю нт бхли двигаются.""";"""Чьи-то огромные глаза приближаются и рассматривают их, потом встряхивают, и они больно ударяются о стенки пузырька и от боли двигаются."""
"""и Тимоша дажи аыхание перехфатило.""";"""У Тимоши даже дыхание перехватило."""
"""""Что дешать?""";"""""Что делать?"""
"""- яумал он.""";"""- думал он."""
"""- Кинъться уа мальку а оънять зузырёк?""";"""- Кинуться на Вальку и отнять пузырёк?"""
"""Не молучится.""";"""Не получится."""
"""Валькк сильнее.""";"""Валька сильнее."""
